HAPV3,2019-04-23,0.024331
RADL3,2010-04-06,0.004396
COGN3,2019-04-05,0.026387
FLRY3,2020-02-27,0.624283
BBDC4,2011-02-14,0.034397
RENT3,2017-12-15,0.061663
BBDC4,2018-10-02,0.013067
BBAS3,2016-03-03,0.090568
BBDC3,2017-08-02,0.0108
BBDC3,2010-05-04,0.004684
BRML3,2015-05-04,0.306114
GOAU4,2011-11-22,0.19
MOVI3,2018-10-29,0.095728
EMBR3,2018-06-26,0.02
PCAR3,2012-04-30,0.373331
BBDC4,2021-03-02,0.017249
BBDC3,2019-01-03,0.011879
CSNA3,2020-05-04,0.008871
VIVT3,2020-09-29,0.360985
ELET3,2011-06-17,0.877025
IRBR3,2020-08-10,0.098064
HYPE3,2018-10-03,0.19966
BRDT3,2019-12-05,0.473637
JBSS3,2015-05-04,0.16738
HGTX3,2021-04-30,0.106851
IRBR3,2020-04-17,0.20975
VIVT3,2020-07-01,0.499825
ITUB4,2020-11-03,0.015
HGTX3,2015-10-29,0.1864
BBDC4,2010-05-04,0.005676
CPLE6,2013-11-27,0.069111
ENGI11,2013-01-31,0.46351
RENT3,2017-09-25,0.059202
BBDC3,2013-12-26,0.138384
HGTX3,2012-12-13,0.128
CCRO3,2011-08-30,0.3975
HGTX3,2014-10-16,0.3037
ENBR3,2016-04-14,0.597638
ITUB4,2013-07-01,0.007513
IRBR3,2019-11-19,0.196907
TIMS3,2019-10-08,0.156471
QUAL3,2021-05-10,2.00909
TOTS3,2014-08-04,0.044382
BBDC4,2012-04-03,0.006897
PCAR3,2020-05-04,0.582024
CSAN3,2016-02-19,0.175555
RADL3,2021-06-24,0.0303
BBSE3,2017-08-11,0.791638
BBDC4,2014-06-25,0.089267
BBDC3,2014-09-02,0.008065
WEGE3,2021-03-01,0.174679
SAPR4,2021-07-01,0.103099
BRSR6,2012-05-02,0.162864
BRSR6,2019-11-12,0.260983
CCRO3,2014-04-16,0.057077
EMBR3,2013-12-17,0.09
LREN3,2021-04-30,0.03894
TRPL4,2014-04-02,0.048715
IRBR3,2019-03-22,0.069393
CYRE3,2019-07-11,0.780383
SANB4,2010-12-23,0.059429
ITUB4,2017-12-15,0.096333
BBDC4,2010-04-05,0.005677
BBDC3,2012-09-04,0.006238
SAPR4,2019-01-02,0.113839
BBDC3,2018-02-02,0.0108
BBDC3,2014-02-04,0.008073
YDUQ3,2016-12-22,0.453958
BBDC3,2016-06-23,0.098197
CRFB3,2019-05-22,0.045373
VIVT3,2018-07-02,0.222144
BBAS3,2010-05-24,0.172912
VALE3,2012-04-16,1.07528
EMBR3,2018-04-24,0.072016
ENGI11,2015-06-30,0.040876
BRKM5,2019-04-17,3.355658
BRFS3,2011-12-29,0.390809
ITUB4,2015-02-02,0.008264
CMIG4,2018-05-02,0.430975
EMBR3,2013-09-24,0.04
ENGI11,2017-08-15,0.279154
MULT3,2011-11-24,0.187265
CVCB3,2015-12-21,0.103654
KLBN11,2016-02-04,0.13107
ITUB4,2016-12-01,0.01
BRFS3,2013-07-01,0.412254
PETR3,2014-04-03,0.53808
TUPY3,2017-11-21,0.346895
EGIE3,2018-08-21,1.404581
BBDC3,2015-07-02,0.00888
CMIG4,2021-05-03,0.548622
BBDC4,2013-09-03,0.008926
RENT3,2014-04-01,0.020227
TAEE4,2018-05-03,0.154161
PETR3,2018-11-22,0.1
ITUB4,2015-01-02,0.008264
BBDC4,2018-07-03,0.013067
ITUB4,2021-04-01,0.015
CPLE6,2015-04-24,0.092803
ITUB4,2016-08-15,0.241818
ITSA4,2019-09-02,0.02
LAME4,2014-01-09,0.009105
BBDC4,2016-07-04,0.0108
BBAS3,2021-05-24,0.414445
ITUB4,2019-08-01,0.015
MGLU3,2015-01-15,0.002443
BBAS3,2021-02-23,0.435863
BRSR6,2020-03-11,0.246878
BBSE3,2018-12-12,1.352301
JBSS3,2020-04-29,0.540595
ITUB4,2014-01-02,0.007513
TUPY3,2017-04-04,0.110974
ITUB4,2011-03-10,0.221658
CSNA3,2020-05-07,0.008871
TRPL4,2019-08-05,0.562186
BBDC4,2017-02-02,0.0108
WEGE3,2019-03-25,0.023206
BBDC3,2012-01-03,0.005671
BBDC4,2014-11-04,0.008926
RADL3,2018-09-27,0.031578
BRAP4,2014-04-29,0.363465
GGBR4,2019-05-20,0.07
BRKM5,2012-04-30,0.605085
BBDC4,2019-07-02,0.015681
ITSA4,2013-08-07,0.047874
GGBR4,2020-11-09,0.12
TRPL4,2015-05-07,0.048055
LREN3,2021-03-19,0.072917
ITUB4,2015-08-03,0.009091
ITSA4,2015-12-10,0.099261
BBDC4,2014-09-02,0.008926
CPFE3,2011-08-18,0.73455
LREN3,2020-04-17,0.375969
LREN3,2016-06-23,0.052622
WEGE3,2015-07-29,0.031923
RENT3,2015-07-01,0.037308
HYPE3,2020-06-29,0.29349
LREN3,2018-06-25,0.066058
LCAM3,2013-09-19,0.020985
EMBR3,2010-04-30,0.076279
EMBR3,2011-03-28,0.06
EMBR3,2014-03-25,0.05
CPLE6,2018-01-02,0.101887
FLRY3,2018-01-03,0.131323
ITUB4,2021-04-28,0.05648
TOTS3,2018-08-02,0.06654
CCRO3,2019-05-08,0.297029
TOTS3,2015-12-22,0.063755
SANB4,2012-12-20,0.062369
BBDC4,2020-03-03,0.015681
COGN3,2016-11-17,0.075417
CIEL3,2010-03-15,0.003617
BBDC4,2018-04-03,0.013067
